Artist,Listeners,Peak,Peak_Listeners
Shenseea,"5,836,092",1083,"9,120,671"
BM,"5,833,978",1083,"8,811,798"
Al Green,"5,831,257",1367,"7,405,318"
Codiciado,"5,828,572",1171,"7,311,880"
Sub Urban,"5,826,523",1361,"6,257,064"
Ivete Sangalo,"5,824,406",749,"11,525,185"
Roberto Carlos,"5,819,264",1593,"6,394,957"
Aaron Modesto,"5,817,982",2021,"5,837,933"
The Living Tombstone,"5,817,217",738,"10,920,356"
Nate Traveller,"5,814,491",2014,"5,814,491"
Aastha Gill,"5,813,773",1548,"7,146,612"
Dj Yuri Pedrada,"5,808,846",2038,"5,808,846"
Aminé,"5,806,557",632,"11,894,189"
Angèle,"5,792,014",1404,"6,894,971"
Trevor Daniel,"5,785,621",968,"9,590,211"
Lefty Sm,"5,784,547",996,"8,808,088"
VIZE,"5,784,251",916,"9,673,119"
41,"5,779,357",1577,"7,014,783"
Hillsong UNITED,"5,778,222",1641,"5,902,984"
Leon Thomas,"5,777,044",2046,"5,777,044"
A-Trak,"5,776,554",1753,"6,405,074"
Sushin Shyam,"5,773,583",1252,"8,356,671"
Daler Mehndi,"5,771,649",2036,"5,771,649"
Swarnalatha,"5,764,446",2018,"5,764,446"
Jennifer Warnes,"5,763,034",1732,"5,995,589"
BONES,"5,761,290",994,"7,968,560"
BK,"5,756,095",2053,"5,756,095"
Klaas,"5,755,619",1592,"6,425,498"
Zach Top,"5,754,172",2053,"5,754,172"
Chefin,"5,725,590",975,"9,515,372"
Lil Pump,"5,725,463",1064,"7,549,525"
LF SYSTEM,"5,721,457",1228,"8,406,731"
MC Saci,"5,715,456",781,"11,475,645"
Santigold,"5,714,563",816,"11,592,317"
Pedro Lotto,"5,709,683",1134,"8,332,406"
Bea Miller,"5,709,028",1078,"7,414,206"
raissa anggiani,"5,708,209",1365,"6,827,986"
Lomiiel,"5,706,727",891,"10,748,118"
Sanam,"5,702,968",1537,"6,025,452"
Christopher Jackson,"5,689,395",2048,"5,699,251"
Jeff Buckley,"5,687,568",2067,"5,687,568"
Pancho Barraza,"5,686,548",1978,"5,786,235"
Abel Pintos,"5,685,220",1666,"6,141,431"
Royal Philharmonic Orchestra,"5,680,652",1151,"9,164,113"
Pablo Chill-E,"5,679,537",999,"9,791,126"
Natalie Cole,"5,676,950",1675,"6,323,779"
Ken-Y,"5,676,853",1863,"5,676,853"
Leony,"5,675,033",993,"9,789,941"
Damso,"5,674,462",1571,"6,049,902"
Nyoman Paul,"5,673,167",1778,"6,405,104"
Rick Springfield,"5,672,549",1600,"6,969,013"
Angus & Julia Stone,"5,669,594",1698,"6,265,122"
thiarajxtt,"5,665,879",1533,"7,220,229"
BLOK3,"5,664,707",2057,"5,770,043"
Luis Mexia,"5,663,017",1378,"6,219,575"
Aaliyah,"5,662,558",1248,"7,854,737"
Keala Settle,"5,659,935",1725,"6,334,829"
REO Speedwagon,"5,654,381",1393,"7,462,185"
TAEYANG,"5,652,872",1044,"8,196,400"
The Bangles,"5,646,545",1629,"6,024,943"
Takeoff,"5,646,031",635,"10,587,587"
Prashant Ingole,"5,640,349",1765,"6,292,583"
Robin Thicke,"5,639,691",1657,"5,828,885"
Nena,"5,638,736",1691,"6,391,384"
Red Velvet,"5,634,104",1034,"7,780,995"
G Herbo,"5,623,853",1175,"7,665,492"
Belinda Carlisle,"5,623,151",1889,"5,801,574"
Four Tops,"5,622,296",1465,"7,055,964"
Wyclef Jean,"5,621,912",1606,"6,137,877"
MC Paulin da Capital,"5,619,352",1150,"8,762,806"
Skillibeng,"5,615,003",669,"12,842,008"
Anurag Kulkarni,"5,614,896",2054,"5,645,261"
Manu,"5,614,427",935,"9,794,583"
Simge,"5,610,231",1798,"6,082,947"
Jamiroquai,"5,609,452",1733,"6,086,034"
Edward Sharpe & The Magnetic Zeros,"5,607,495",1575,"6,824,377"
Mc Poze do Rodo,"5,605,006",1169,"8,583,708"
The Cinematic Orchestra,"5,601,358",1458,"6,914,584"
Roar,"5,600,678",1002,"7,895,115"
Ikka,"5,591,678",1570,"6,805,552"
Gala,"5,590,556",1420,"7,210,635"
Antonio Aguilar,"5,586,708",1978,"6,001,445"
Bronco,"5,586,463",1161,"8,786,823"
Baby Rasta,"5,586,140",609,"10,986,033"
Janet Jackson,"5,583,992",1438,"5,941,209"
TJ Monterde,"5,582,085",1605,"6,872,616"
Miggy Dela Rosa,"5,582,056",581,"11,442,944"
Lvbel C5,"5,579,270",1609,"6,661,995"
Richard Marx,"5,572,983",1921,"5,793,041"
Waka Flocka Flame,"5,572,437",1472,"6,430,866"
Miky Woodz,"5,572,152",1779,"6,041,232"
Guè,"5,571,083",1601,"6,735,153"
Neo Beats,"5,568,127",956,"8,012,871"
Juhn,"5,567,945",1634,"6,593,948"
DJ BOY,"5,567,162",1708,"6,258,214"
Mano,"5,566,046",1971,"5,854,389"
Take That,"5,565,676",1585,"6,456,209"
nimino,"5,565,640",2096,"5,565,640"
Nathan Evans,"5,564,658",1571,"6,470,712"
Jakes Bejoy,"5,563,734",1786,"5,681,771"
Ski Aggu,"5,563,590",1386,"7,602,699"
Maverick City Music,"5,562,785",1843,"6,182,913"
Beret,"5,556,156",1344,"6,605,918"
Manim Vaqueiro,"5,552,863",926,"10,154,894"
AJ Tracey,"5,552,863",1636,"6,646,328"
Bobby Pulido,"5,549,100",1557,"6,392,209"
BoyWithUke,"5,542,739",743,"9,580,542"
xxanteria,"5,542,230",1222,"8,223,239"
Daniel Hope,"5,538,483",1778,"5,851,053"
ThxSoMch,"5,537,708",783,"9,386,209"
Martin Solveig,"5,535,848",1465,"6,162,897"
Sam Martin,"5,531,792",2138,"5,531,792"
Oxlade,"5,530,798",1192,"7,603,048"
AVAION,"5,527,202",2078,"5,527,202"
Rio Romeo,"5,526,157",1270,"7,676,248"
