Artist,Listeners,Peak,Peak_Listeners
Bruno Mars,"150,477,205",1,"150,477,205"
The Weeknd,"121,949,023",1,"121,949,023"
Lady Gaga,"118,481,948",2,"118,481,948"
Billie Eilish,"104,624,801",1,"108,297,865"
Bad Bunny,"94,749,788",3,"94,749,788"
Coldplay,"92,074,348",4,"96,459,910"
Rihanna,"89,761,350",2,"89,761,350"
Taylor Swift,"86,916,365",1,"116,229,071"
SZA,"84,432,550",9,"84,432,550"
Ariana Grande,"84,403,209",2,"123,700,287"
Kendrick Lamar,"83,706,518",8,"83,706,518"
Justin Bieber,"82,322,453",3,"104,411,890"
Drake,"74,371,479",3,"86,591,246"
Eminem,"74,127,535",5,"86,389,533"
David Guetta,"73,421,896",4,"80,447,076"
Travis Scott,"72,314,591",6,"75,422,869"
Ed Sheeran,"69,809,010",2,"94,810,774"
Post Malone,"69,693,616",3,"98,466,468"
Sabrina Carpenter,"69,448,294",4,"90,844,193"
ROSÉ,"68,247,250",17,"71,124,800"
Kanye West,"66,265,213",6,"78,581,428"
Dua Lipa,"64,838,571",3,"78,673,675"
J Balvin,"64,816,591",23,"64,816,591"
Maroon 5,"64,694,829",21,"64,694,829"
Calvin Harris,"62,262,577",13,"73,882,008"
Lana Del Rey,"60,381,005",22,"64,952,989"
Imagine Dragons,"60,225,405",18,"62,801,774"
Shakira,"60,084,521",3,"82,268,835"
Katy Perry,"59,546,783",23,"65,618,321"
Adele,"58,729,220",23,"62,764,213"
Sam Smith,"58,711,652",7,"73,972,799"
Future,"58,276,057",22,"65,628,348"
Sia,"57,900,738",8,"93,545,630"
Beyoncé,"57,557,918",6,"78,122,541"
KAROL G,"55,998,969",21,"63,139,763"
Pitbull,"55,784,989",32,"57,732,751"
Rauw Alejandro,"55,709,026",34,"55,709,026"
Miley Cyrus,"55,396,954",2,"84,140,935"
Arctic Monkeys,"55,083,002",36,"56,618,863"
Marshmello,"54,492,274",11,"68,947,085"
Playboi Carti,"53,352,073",30,"59,047,563"
Daddy Yankee,"53,096,916",22,"58,098,739"
OneRepublic,"52,720,259",23,"64,167,172"
Teddy Swims,"51,315,750",44,"51,315,750"
Gracie Abrams,"51,186,912",43,"51,497,815"
Chris Brown,"50,747,419",25,"54,390,450"
21 Savage,"50,625,969",17,"66,771,445"
Lil Wayne,"50,458,109",46,"50,458,109"
Khalid,"50,233,809",28,"55,253,946"
Hozier,"50,136,084",32,"57,616,097"
"Tyler, The Creator","49,880,933",43,"52,930,766"
Doja Cat,"49,424,954",5,"76,357,864"
The Chainsmokers,"48,477,834",47,"50,559,085"
Queen,"48,473,655",29,"64,087,998"
Metro Boomin,"48,384,494",17,"64,728,517"
Elton John,"48,204,971",16,"72,669,137"
Halsey,"47,909,449",48,"47,909,449"
Linkin Park,"47,270,438",29,"60,369,972"
Olivia Rodrigo,"46,647,649",18,"64,128,148"
Nicki Minaj,"46,497,967",18,"65,680,733"
Shawn Mendes,"45,898,287",45,"49,285,295"
Peso Pluma,"45,543,543",27,"59,429,724"
Maluma,"45,349,540",56,"47,177,187"
Camila Cabello,"45,008,225",57,"48,063,760"
Michael Jackson,"44,897,127",35,"55,663,612"
Myke Towers,"44,430,881",48,"47,235,005"
Harry Styles,"44,041,254",13,"66,411,599"
One Direction,"43,484,630",26,"61,154,815"
Lola Young,"43,471,689",69,"43,471,689"
Arijit Singh,"43,391,304",57,"43,391,304"
The Neighbourhood,"43,283,915",62,"45,186,994"
Black Eyed Peas,"42,581,448",57,"43,281,556"
Avicii,"42,566,431",68,"43,468,577"
Shreya Ghoshal,"42,555,168",72,"42,555,168"
Feid,"42,067,698",53,"46,407,503"
Pritam,"41,837,881",75,"41,837,881"
Benson Boone,"41,578,021",31,"60,310,612"
Ellie Goulding,"41,530,775",51,"45,626,754"
Chappell Roan,"41,279,565",59,"46,003,960"
Tate McRae,"41,263,056",26,"59,945,963"
Selena Gomez,"40,669,205",22,"58,879,269"
The Kid LAROI,"40,228,056",50,"46,982,806"
Anitta,"39,955,330",71,"41,361,725"
USHER,"39,943,890",47,"51,216,038"
JENNIE,"39,114,897",85,"39,567,837"
Ozuna,"38,748,121",40,"51,532,028"
Tiësto,"38,585,393",38,"53,621,311"
Justin Timberlake,"38,197,354",57,"46,918,730"
Charlie Puth,"38,190,602",58,"42,603,508"
A.R. Rahman,"38,113,940",88,"38,262,861"
Don Toliver,"38,057,005",85,"38,943,885"
XXXTENTACION,"37,992,585",67,"42,898,057"
Don Omar,"37,810,471",89,"38,432,695"
Britney Spears,"37,735,744",48,"54,776,119"
50 Cent,"37,543,792",79,"40,126,544"
DJ Snake,"37,439,400",94,"37,439,400"
Romeo Santos,"36,884,783",97,"36,884,783"
Frank Ocean,"36,870,890",96,"36,966,030"
Madonna,"36,860,401",50,"48,192,778"
Grupo Frontera,"36,798,923",64,"39,234,817"
J. Cole,"36,738,131",45,"48,760,887"
Kesha,"36,587,245",58,"51,088,856"
Ne-Yo,"36,566,062",81,"39,892,671"
Morgan Wallen,"36,486,941",59,"46,385,773"
Daniel Caesar,"36,249,420",69,"44,105,561"
A$AP Rocky,"35,920,325",91,"38,053,171"
Ty Dolla $ign,"35,829,318",40,"52,532,512"
Gunna,"35,825,550",65,"43,236,433"
Lil Baby,"35,667,194",76,"41,194,598"
Sean Paul,"35,073,801",66,"38,975,847"
Wiz Khalifa,"34,868,962",96,"37,566,246"
Anuel AA,"34,811,325",83,"35,286,500"
Sexyy Red,"34,798,639",113,"34,798,639"
Red Hot Chili Peppers,"34,738,560",81,"39,602,017"
P!nk,"34,534,885",68,"37,814,655"
Swae Lee,"34,467,360",51,"47,431,521"
Fleetwood Mac,"34,436,133",97,"35,832,635"
JAY-Z,"34,355,904",66,"38,587,931"
Cris Mj,"34,126,290",52,"49,896,640"
Kali Uchis,"34,015,259",49,"48,511,206"
Juice WRLD,"34,010,124",92,"39,483,073"
Farruko,"33,609,674",64,"39,498,431"
Ava Max,"33,380,744",85,"42,954,408"
The Police,"33,358,206",120,"34,009,217"
AC/DC,"33,357,144",77,"40,609,655"
Bebe Rexha,"32,983,197",37,"49,496,274"
Kygo,"32,893,016",95,"37,407,823"
Sachin-Jigar,"32,726,817",125,"33,519,556"
Disney,"32,706,063",126,"32,706,063"
The Beatles,"32,468,930",78,"37,399,629"
James Arthur,"32,465,422",69,"40,276,141"
Nirvana,"32,420,004",122,"32,994,437"
Twenty One Pilots,"31,823,067",118,"34,284,091"
Tom Odell,"31,716,836",87,"38,447,142"
ABBA,"31,653,188",105,"35,949,380"
Central Cee,"31,651,606",78,"40,321,501"
Alicia Keys,"31,637,763",101,"36,467,650"
Mark Ronson,"31,602,490",131,"32,768,567"
Akon,"31,572,797",128,"32,792,945"
Fuerza Regida,"31,522,357",105,"35,789,194"
Manuel Turizo,"31,517,475",66,"39,587,171"
Pharrell Williams,"31,461,753",90,"37,520,208"
Flo Rida,"31,455,296",112,"34,646,575"
Green Day,"31,391,942",96,"36,657,007"
Cigarettes After Sex,"31,234,191",142,"31,234,191"
JHAYCO,"31,111,988",102,"33,308,450"
Radiohead,"30,771,005",146,"30,771,005"
Omar Courtz,"30,767,607",143,"31,088,939"
Guns N' Roses,"30,574,688",135,"31,649,813"
Bizarrap,"30,547,306",28,"54,300,662"
Diplo,"30,535,109",95,"34,712,763"
Macklemore,"30,415,236",99,"36,292,075"
Bon Jovi,"30,179,089",143,"30,721,045"
Snoop Dogg,"30,043,432",109,"34,236,028"
GIVĒON,"29,856,867",145,"29,856,867"
Charli xcx,"29,625,837",56,"46,491,335"
Ovy On The Drums,"29,617,654",157,"29,617,654"
Jack Harlow,"29,608,428",29,"59,210,566"
Dei V,"29,564,415",155,"29,780,833"
Nicky Jam,"29,546,369",128,"30,366,327"
Lord Huron,"29,503,438",146,"31,623,501"
Gigi Perez,"29,430,391",159,"29,430,391"
Carin Leon,"29,427,668",125,"32,386,759"
Vishal-Shekhar,"29,423,169",160,"29,423,169"
Lewis Capaldi,"29,307,216",66,"37,776,153"
Cardi B,"29,256,577",84,"36,282,159"
Amitabh Bhattacharya,"29,217,736",149,"30,111,225"
Creedence Clearwater Revival,"29,161,683",92,"38,637,577"
Jason Derulo,"29,057,978",77,"39,368,590"
Tyla,"29,034,766",112,"34,775,358"
Gorillaz,"28,993,806",54,"41,977,704"
Young Thug,"28,991,296",97,"33,656,406"
Mac Miller,"28,613,828",173,"28,613,828"
Lily-Rose Depp,"28,508,333",117,"32,569,522"
Noah Kahan,"28,460,011",86,"37,900,933"
Megan Thee Stallion,"28,402,128",108,"35,834,865"
Robin Schulz,"28,329,607",76,"34,908,935"
DaBaby,"28,264,801",103,"32,070,946"
FloyyMenor,"28,201,479",66,"42,961,167"
Tanishk Bagchi,"28,160,343",165,"29,015,967"
Anne-Marie,"28,021,906",61,"41,501,481"
RAYE,"27,978,297",70,"36,484,906"
Nelly Furtado,"27,955,475",159,"27,955,475"
Mariah Carey,"27,892,854",5,"100,610,625"
GloRilla,"27,787,597",166,"28,822,517"
Enrique Iglesias,"27,680,971",151,"29,585,670"
ZAYN,"27,677,016",160,"28,851,598"
Udit Narayan,"27,608,759",183,"27,608,759"
Danny Ocean,"27,594,593",189,"27,594,593"
Billy Joel,"27,578,659",132,"32,898,654"
Lil Uzi Vert,"27,529,112",67,"39,580,515"
Lost Frequencies,"27,503,392",105,"36,503,461"
d4vd,"27,369,541",94,"31,836,766"
Florence + The Machine,"27,104,734",108,"35,434,529"
Alan Walker,"27,094,555",100,"33,218,914"
Metallica,"27,066,627",144,"27,227,046"
Steve Lacy,"26,870,240",111,"31,029,345"
Major Lazer,"26,861,921",132,"31,365,666"
beabadoobee,"26,818,999",198,"26,818,999"
Demi Lovato,"26,639,315",98,"33,320,815"
The Rolling Stones,"26,621,184",138,"29,911,374"
Christina Aguilera,"26,595,514",143,"34,034,008"
The Killers,"26,519,842",178,"28,483,994"
Tame Impala,"26,343,265",162,"28,367,463"
Zach Bryan,"26,298,212",119,"34,463,168"
Neton Vega,"26,295,988",206,"26,295,988"
Conan Gray,"26,195,634",167,"28,549,479"
Chencho Corleone,"26,123,944",106,"31,161,386"
Bee Gees,"26,122,236",158,"28,740,653"
Meghan Trainor,"25,959,423",69,"41,619,008"
BTS,"25,956,969",63,"40,741,916"
KK,"25,954,540",211,"25,954,540"
Shaboozey,"25,855,337",110,"35,811,664"
Blessd,"25,822,410",207,"26,439,074"
Whitney Houston,"25,734,037",135,"35,060,772"
Kodak Black,"25,659,771",99,"33,708,388"
Junior H,"25,623,609",141,"28,903,235"
Mitski,"25,562,325",71,"39,387,536"
Trippie Redd,"25,548,047",137,"31,720,053"
Childish Gambino,"25,543,378",151,"30,712,179"
2Pac,"25,504,885",189,"26,076,300"
Jennifer Lopez,"25,454,023",194,"26,516,673"
Ryan Castro,"25,428,479",171,"29,371,208"
Sebastian Yatra,"25,412,477",137,"28,235,688"
Atif Aslam,"25,357,134",222,"25,357,134"
Empire Of The Sun,"25,244,116",226,"25,244,116"
Arcángel,"25,202,027",112,"29,918,189"
Quevedo,"25,201,300",71,"38,182,790"
Zara Larsson,"25,142,364",162,"29,026,526"
Clean Bandit,"25,114,578",167,"29,350,485"
Arcane,"24,847,740",212,"27,212,029"
Miguel,"24,798,721",80,"34,144,669"
Shilpa Rao,"24,652,605",158,"28,394,666"
The Cranberries,"24,635,230",190,"27,044,375"
Oscar Maydon,"24,631,153",174,"28,881,483"
Dr. Dre,"24,579,722",194,"27,880,888"
Luke Combs,"24,501,822",114,"34,881,535"
Journey,"24,494,746",201,"26,816,449"
TOTO,"24,482,296",147,"31,472,214"
The Script,"24,390,814",204,"26,078,314"
Becky G,"24,358,991",78,"36,514,621"
Shankar Mahadevan,"24,354,221",241,"24,354,221"
The Marías,"24,286,712",243,"24,286,712"
Alok,"24,203,151",123,"33,578,843"
Tito Double P,"24,112,455",244,"24,112,455"
Camilo,"24,009,998",246,"24,009,998"
Natanael Cano,"23,985,170",159,"28,962,500"
Swedish House Mafia,"23,978,976",187,"26,245,665"
Fall Out Boy,"23,966,407",129,"30,377,374"
Aerosmith,"23,858,734",201,"23,858,734"
Tainy,"23,751,813",91,"35,233,699"
NLE Choppa,"23,739,486",181,"24,991,591"
Young Miko,"23,597,425",105,"33,633,855"
Vishal Mishra,"23,591,033",227,"24,121,173"
Doechii,"23,549,587",255,"23,549,587"
Artemas,"23,508,194",43,"53,546,898"
Irshad Kamil,"23,375,223",257,"23,375,223"
John Legend,"23,344,398",107,"36,598,430"
Djo,"23,339,991",63,"44,239,817"
Tory Lanez,"23,296,161",180,"26,498,835"
Oasis,"23,292,770",130,"32,783,280"
ROSALÍA,"23,226,691",47,"46,715,627"
Summer Walker,"23,203,986",167,"28,542,051"
Tears For Fears,"23,177,944",238,"24,307,146"
Calum Scott,"23,174,522",131,"28,676,261"
French Montana,"23,068,553",220,"25,515,389"
Chase Atlantic,"23,051,270",263,"23,118,141"
Bob Marley & The Wailers,"23,029,960",170,"28,137,637"
Avril Lavigne,"23,019,273",214,"25,975,556"
Outkast,"23,018,012",203,"26,630,672"
Lil Tecca,"23,002,166",231,"24,535,136"
Sunidhi Chauhan,"22,991,338",269,"22,991,338"
Kapo,"22,915,853",271,"22,915,853"
TV Girl,"22,833,741",255,"23,816,777"
Dominic Fike,"22,815,526",198,"26,534,259"
System Of A Down,"22,793,297",249,"24,010,200"
Shankar-Ehsaan-Loy,"22,739,091",275,"22,739,091"
Mohit Chauhan,"22,718,297",267,"22,873,696"
Gabito Ballesteros,"22,716,517",237,"23,182,423"
PARTYNEXTDOOR,"22,672,430",268,"22,874,809"
Martin Garrix,"22,531,892",175,"23,962,214"
Disclosure,"22,519,679",253,"24,194,511"
Phil Collins,"22,515,687",260,"23,998,160"
Anirudh Ravichander,"22,435,749",114,"31,302,762"
G-Eazy,"22,425,886",223,"25,019,815"
Brent Faiyaz,"22,404,312",192,"25,902,758"
Tommy Richman,"22,380,924",47,"50,755,802"
Sonu Nigam,"22,379,559",281,"22,741,063"
The Notorious B.I.G.,"22,351,189",202,"25,886,768"
Backstreet Boys,"22,322,550",205,"26,680,229"
Kid Cudi,"22,318,630",149,"29,550,228"
Luis R Conriquez,"22,308,870",288,"22,308,870"
Train,"22,169,523",171,"29,211,060"
Bastille,"22,169,331",183,"26,610,747"
Labrinth,"22,138,377",67,"36,829,106"
Daft Punk,"22,110,000",225,"23,376,824"
Mithoon,"22,108,989",279,"22,362,109"
Lauv,"22,030,724",257,"22,030,724"
Alka Yagnik,"21,985,601",287,"21,985,601"
Bryson Tiller,"21,974,671",169,"28,259,185"
Beéle,"21,940,557",301,"21,940,557"
Nickelback,"21,907,380",264,"23,366,875"
Bryan Adams,"21,826,128",231,"26,007,882"
Pink Floyd,"21,781,627",258,"21,781,627"
Diljit Dosanjh,"21,742,688",247,"23,839,106"
Tyga,"21,684,763",176,"25,118,039"
Elvis Presley,"21,679,925",57,"52,355,319"
Plan B,"21,662,480",229,"24,657,446"
Lorde,"21,576,213",222,"23,023,548"
Yo Yo Honey Singh,"21,576,032",288,"22,069,295"
Javed Ali,"21,571,628",308,"21,571,628"
Amy Winehouse,"21,501,264",279,"22,846,644"
Rels B,"21,455,833",239,"24,237,621"
Myles Smith,"21,420,151",170,"28,960,193"
Vance Joy,"21,394,325",117,"32,405,324"
Chris Stapleton,"21,382,902",197,"26,834,473"
JID,"21,382,391",100,"34,163,239"
Troye Sivan,"21,369,766",107,"32,443,596"
Paramore,"21,351,141",251,"22,641,315"
Lil Durk,"21,345,733",92,"34,773,282"
The Goo Goo Dolls,"21,326,143",211,"25,524,668"
Luis Fonsi,"21,279,824",214,"23,290,182"
Ray Dalton,"21,279,311",310,"21,310,686"
Felix Jaehn,"21,202,598",194,"24,535,929"
Badshah,"21,185,983",273,"23,042,104"
Timbaland,"21,158,522",256,"21,725,657"
Rema,"21,115,379",60,"40,010,586"
The Lumineers,"21,109,069",165,"28,855,344"
DJ Khaled,"21,059,750",124,"29,389,696"
Keane,"21,044,488",314,"21,057,733"
Stephen Sanchez,"21,035,760",82,"34,322,910"
Bruce Springsteen,"20,968,833",107,"38,727,164"
Dire Straits,"20,940,937",313,"21,284,160"
Glass Animals,"20,884,984",132,"28,077,809"
El Alfa,"20,824,570",223,"23,914,135"
AFROJACK,"20,782,719",235,"25,016,746"
Maria Becerra,"20,718,241",159,"26,919,900"
Mac DeMarco,"20,554,862",318,"20,710,634"
Ayra Starr,"20,509,354",134,"32,190,133"
Wisin & Yandel,"20,506,167",173,"23,350,285"
Yandel,"20,464,219",126,"27,875,326"
U2,"20,458,813",233,"23,044,157"
yung kai,"20,439,166",343,"20,439,166"
Macklemore & Ryan Lewis,"20,431,841",190,"25,456,801"
Marvin Gaye,"20,346,051",243,"22,903,088"
Eagles,"20,245,764",104,"38,461,042"
Offset,"20,181,916",183,"25,315,155"
5 Seconds of Summer,"20,168,224",205,"25,934,585"
Tulsi Kumar,"20,142,458",346,"20,616,552"
CYRIL,"20,130,020",227,"25,127,423"
RaiNao,"20,121,883",315,"21,341,252"
Måneskin,"20,100,917",134,"26,818,201"
League of Legends,"20,043,894",336,"21,226,665"
"Earth, Wind & Fire","20,003,090",198,"26,595,110"
Jonas Brothers,"19,990,962",119,"34,608,604"
Mc Gw,"19,990,840",238,"24,214,206"
Kings of Leon,"19,978,329",241,"24,493,486"
TINI,"19,887,621",194,"26,064,686"
Himesh Reshammiya,"19,873,960",359,"19,873,960"
Lil Nas X,"19,854,083",61,"37,597,256"
Aventura,"19,829,267",327,"21,207,184"
HUGEL,"19,794,976",356,"19,794,976"
Nelly,"19,792,313",316,"20,062,232"
Panic! At The Disco,"19,749,019",165,"27,310,489"
Stromae,"19,700,536",249,"25,659,827"
Jason Mraz,"19,690,175",282,"21,336,382"
Burna Boy,"19,685,603",244,"24,057,543"
Alessia Cara,"19,684,009",227,"25,204,710"
Dido,"19,680,212",307,"21,688,560"
ATL Jacob,"19,672,932",210,"25,072,953"
Pop Smoke,"19,586,866",162,"25,280,553"
The Offspring,"19,538,639",309,"21,326,758"
Jaani,"19,510,213",319,"21,270,757"
Natasha Bedingfield,"19,433,921",165,"28,725,197"
Ruth B.,"19,415,667",224,"23,065,545"
Chinmayi,"19,409,721",357,"19,758,776"
Devi Sri Prasad,"19,376,335",350,"20,167,765"
R.E.M.,"19,356,821",332,"19,390,798"
Jasleen Royal,"19,319,249",298,"19,931,406"
Tiago PZK,"19,281,073",244,"22,623,731"
Sech,"19,261,525",174,"23,591,625"
Stevie Wonder,"19,247,899",114,"34,912,997"
Alphaville,"19,234,520",271,"22,723,241"
Grupo Firme,"19,231,613",257,"22,421,731"
Clairo,"19,230,302",337,"20,395,711"
Anderson .Paak,"19,224,153",197,"23,668,985"
Duki,"19,158,274",162,"26,492,455"
Led Zeppelin,"19,158,239",294,"19,271,072"
Joji,"19,153,552",116,"29,284,554"
Jubin Nautiyal,"19,147,713",241,"22,249,499"
Mora,"19,146,165",151,"27,760,085"
Daryl Hall & John Oates,"19,145,142",133,"34,415,282"
Skrillex,"19,094,327",175,"23,635,431"
Sachet-Parampara,"19,085,858",391,"19,085,858"
Lil Peep,"19,080,501",337,"21,168,577"
Sachet Tandon,"19,073,714",363,"19,316,400"
Elley Duhé,"19,023,380",150,"25,586,962"
Juanes,"19,012,400",332,"19,164,230"
Christian Nodal,"18,992,350",220,"24,683,573"
blink-182,"18,883,990",268,"22,103,116"
Nicki Nicole,"18,880,738",173,"27,818,511"
Big Sean,"18,880,369",166,"29,499,746"
Dean Lewis,"18,845,444",266,"19,801,720"
Topic,"18,830,415",343,"19,460,472"
Foo Fighters,"18,747,322",231,"23,378,244"
Amaal Mallik,"18,698,373",394,"19,443,427"
De La Ghetto,"18,605,956",238,"21,703,557"
Baby Keem,"18,553,815",237,"23,094,570"
Amit Trivedi,"18,535,175",384,"18,535,175"
Reik,"18,355,055",253,"22,018,792"
Jung Kook,"18,349,981",61,"40,791,781"
Vishal Dadlani,"18,344,957",307,"19,035,408"
Imogen Heap,"18,302,801",413,"18,302,801"
Céline Dion,"18,289,931",105,"38,976,847"
Disturbed,"18,244,574",286,"22,402,786"
Julia Michaels,"18,151,055",309,"20,387,752"
George Michael,"18,074,210",139,"31,867,957"
Lenny Tavárez,"18,037,164",278,"22,544,589"
Tems,"18,011,624",351,"20,045,383"
MC Tuto,"17,969,330",400,"18,873,532"
Neha Kakkar,"17,955,998",397,"18,678,926"
Polo G,"17,949,361",170,"24,908,452"
Jessie J,"17,929,830",304,"23,379,270"
Kausar Munir,"17,920,792",424,"17,920,792"
Foster The People,"17,902,374",313,"22,182,297"
Trueno,"17,896,360",178,"28,176,321"
Chezile,"17,886,099",417,"17,952,523"
Parampara Tandon,"17,880,967",424,"17,880,967"
FISHER,"17,852,135",382,"19,632,720"
Rochak Kohli,"17,834,162",429,"17,834,162"
Kunaal Vermaa,"17,792,871",419,"18,269,527"
Roddy Ricch,"17,791,590",205,"23,016,594"
Rahat Fateh Ali Khan,"17,775,256",433,"17,775,256"
Gabry Ponte,"17,761,002",379,"19,299,756"
Migos,"17,742,319",296,"20,299,307"
Gotye,"17,684,356",367,"18,863,328"
Los Ángeles Azules,"17,675,207",374,"19,765,045"
Kim Petras,"17,658,794",43,"46,551,289"
Latto,"17,639,884",74,"38,062,951"
Anu Malik,"17,635,579",435,"17,635,579"
Chino Pacas,"17,618,714",267,"21,601,531"
Cyndi Lauper,"17,618,076",214,"25,807,659"
Alesso,"17,582,019",259,"21,319,973"
Karan Aujla,"17,539,359",349,"19,861,429"
Carly Rae Jepsen,"17,498,962",317,"18,869,973"
Zion & Lennox,"17,475,599",230,"22,169,487"
Lil Yachty,"17,379,086",315,"20,524,026"
Madhubanti Bagchi,"17,368,910",448,"17,368,910"
Evanescence,"17,359,572",407,"18,667,852"
The Cure,"17,330,711",354,"19,787,965"
Gwen Stefani,"17,305,199",131,"35,714,924"
Annie Lennox,"17,256,916",301,"22,105,566"
Prince Royce,"17,238,665",339,"18,754,885"
Alex Warren,"17,218,081",451,"17,222,680"
Hotel Ugly,"17,181,721",256,"23,321,907"
Jelly Roll,"17,175,139",273,"23,529,805"
T-Pain,"17,152,198",372,"18,873,052"
Asees Kaur,"17,123,564",420,"17,605,775"
Naughty Boy,"17,088,739",459,"17,088,739"
PNAU,"17,072,784",220,"22,323,897"
Neeti Mohan,"17,058,784",454,"17,266,809"
Coolio,"17,036,262",367,"19,724,313"
Shaggy,"16,996,736",328,"18,459,819"
Alec Benjamin,"16,991,331",251,"23,650,761"
Manoj Muntashir,"16,960,171",465,"16,960,171"
Darshan Raval,"16,940,219",286,"20,349,184"
Lin-Manuel Miranda,"16,934,587",461,"16,968,839"
PinkPantheress,"16,906,720",60,"39,844,680"
BigXthaPlug,"16,900,025",469,"17,278,854"
Frank Sinatra,"16,880,302",33,"61,802,582"
Jay Wheeler,"16,831,701",300,"19,956,526"
Noah Cyrus,"16,813,843",339,"20,615,213"
David Kushner,"16,812,805",143,"27,928,294"
a-ha,"16,798,686",180,"28,104,014"
*NSYNC,"16,796,301",138,"32,534,951"
Julieta Venegas,"16,785,632",376,"19,459,228"
Julión Álvarez y su Norteño Banda,"16,762,327",397,"18,790,693"
Dave,"16,747,605",135,"29,100,809"
B Praak,"16,741,725",366,"19,588,169"
The Smiths,"16,740,030",432,"17,960,171"
Bon Iver,"16,709,140",287,"21,981,333"
Sevdaliza,"16,670,553",219,"25,431,578"
My Chemical Romance,"16,647,756",389,"19,625,163"
BLACKPINK,"16,646,050",173,"25,116,235"
Sade,"16,607,781",485,"16,607,781"
benny blanco,"16,604,060",262,"23,177,471"
JVKE,"16,602,346",110,"31,684,143"
Emilia,"16,586,705",337,"19,179,139"
Kimbra,"16,568,785",434,"17,862,679"
Rvssian,"16,561,398",180,"27,438,055"
Bill Withers,"16,521,959",219,"25,445,001"
Bob Sinclar,"16,497,377",436,"17,742,161"
Maná,"16,448,083",334,"19,468,590"
Jonas Blue,"16,430,919",226,"22,821,691"
Paulo Londra,"16,345,086",401,"16,734,709"
Kelly Clarkson,"16,309,483",29,"64,847,712"
Limp Bizkit,"16,301,440",468,"16,301,440"
Adam Port,"16,295,359",241,"24,739,687"
De La Rose,"16,293,804",385,"19,272,035"
Cage The Elephant,"16,275,641",401,"18,343,382"
Henrique & Juliano,"16,201,824",461,"18,043,242"
NATTI NATASHA,"16,177,372",331,"17,498,549"
MGMT,"16,158,514",416,"18,279,387"
Jess Glynne,"16,143,659",421,"19,358,245"
Gesaffelstein,"16,122,133",273,"18,995,025"
Sean Kingston,"16,099,179",381,"18,574,495"
MC Ryan SP,"16,099,055",349,"19,355,147"
Nile Rodgers,"16,071,184",209,"25,999,504"
Steve Aoki,"16,064,634",216,"21,606,912"
Divya Kumar,"16,044,836",405,"18,610,694"
MEDUZA,"16,044,225",222,"22,148,251"
Kane Brown,"15,991,133",418,"18,066,809"
Ice Cube,"15,964,599",325,"18,290,286"
George Ezra,"15,931,265",291,"20,125,754"
Justin Quiles,"15,925,760",223,"21,581,896"
Mike Posner,"15,886,958",400,"17,945,456"
Luis Miguel,"15,884,512",309,"21,870,866"
Mark Ambor,"15,859,225",134,"35,210,214"
Kehlani,"15,818,080",413,"17,718,711"
Zedd,"15,746,096",317,"17,028,438"
The 1975,"15,744,068",341,"16,303,938"
Armaan Malik,"15,732,366",381,"16,761,065"
Dolly Parton,"15,726,498",245,"26,134,547"
Ice Spice,"15,702,312",49,"47,203,544"
Bryant Myers,"15,678,311",341,"18,758,660"
Salim–Sulaiman,"15,661,161",526,"15,661,161"
Muse,"15,647,607",480,"16,445,948"
Daya,"15,637,288",340,"20,492,260"
Lata Mangeshkar,"15,634,565",523,"15,634,565"
Sajid-Wajid,"15,629,872",530,"15,629,872"
The Walters,"15,627,401",371,"19,385,847"
Carlos Vives,"15,597,526",375,"18,576,958"
YoungBoy Never Broke Again,"15,582,952",288,"19,051,130"
Kacey Musgraves,"15,538,533",182,"27,365,334"
Eladio Carrion,"15,535,226",156,"26,738,598"
Morat,"15,532,093",344,"16,643,863"
Kumaar,"15,528,677",316,"17,005,446"
David Bowie,"15,525,289",317,"20,160,489"
LISA,"15,505,801",242,"23,865,652"
Jeremih,"15,502,269",527,"15,538,316"
Priya Saraiya,"15,496,982",541,"15,496,982"
Alejandro Fernández,"15,496,883",404,"16,078,925"
Lynyrd Skynyrd,"15,474,596",389,"17,985,151"
Laufey,"15,459,203",89,"43,026,697"
Dimitri Vegas & Like Mike,"15,443,211",357,"19,897,730"
Tove Lo,"15,440,048",321,"16,726,850"
Eslabon Armado,"15,420,338",64,"40,132,836"
KISS,"15,417,486",475,"15,423,095"
Boney M.,"15,370,993",268,"24,770,644"
Ñengo Flow,"15,369,505",207,"22,145,574"
GIMS,"15,358,448",528,"15,500,721"
Bob Dylan,"15,334,965",492,"16,331,047"
Little Mix,"15,308,482",287,"19,963,380"
R3HAB,"15,302,606",210,"23,584,295"
Hariharan,"15,301,301",538,"15,301,301"
Armin van Buuren,"15,283,868",440,"16,690,011"
girl in red,"15,205,873",262,"23,016,471"
Darell,"15,201,224",238,"22,214,709"
Ana Castela,"15,158,135",324,"20,415,436"
Quavo,"15,155,327",188,"27,599,002"
Manan Bhardwaj,"15,147,941",247,"24,056,763"
Varun Jain,"15,135,902",562,"15,135,902"
Chayanne,"15,121,151",474,"17,003,813"
John Mayer,"15,117,949",327,"19,806,976"
Raj Shekhar,"15,096,461",554,"15,096,461"
S. P. Balasubrahmanyam,"15,015,950",566,"15,015,950"
A Boogie Wit da Hoodie,"15,006,523",213,"22,882,543"
Surf Curse,"14,963,480",319,"20,913,105"
Milo j,"14,954,974",265,"21,285,336"
Morad,"14,936,046",570,"14,936,046"
Roxette,"14,914,780",520,"15,877,772"
