Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
VillaBanks,1 018 305 765,765 804 447,166 499 441,252 501 318,464 586,363 153,101 433,160,119,34,41
Pat Benatar,1 018 207 847,1 017 665 492,1 017 665 492,542 355,530 158,529 815,343,112,111,111,1
Lumi Athena,1 019 509 918,1 004 279 339,326 004 463,15 230 579,937 037,922 932,14 105,72,68,42,4
Lars Winnerbäck,1 018 858 191,1 000 161 646,909 793 705,18 696 545,197 241,184 484,12 757,307,301,295,6
Kailash Kher,1 019 001 639,651 583 397,128 010 504,367 418 242,1 612 046,1 152 829,459 217,163,113,54,50
Biffy Clyro,1 019 139 339,1 018 420 056,1 018 420 056,719 283,199 812,199 701,111,281,280,280,1
Kid Yugi,1 020 074 417,679 693 505,302 168 467,340 380 912,2 128 393,1 300 900,827 493,66,42,21,24
M Huncho,1 020 157 411,734 537 394,464 057 858,285 620 017,380 085,293 860,86 225,159,130,80,29
Heijan,1 020 938 928,756 830 677,162 602 851,264 108 251,731 046,490 738,240 308,50,37,12,13
Alexandre Desplat,1 018 935 326,1 018 637 188,699 984 890,298 138,340 164,340 136,28,551,550,428,1
RL Grime,1 021 994 989,765 786 663,104 225 810,256 208 326,348 889,120 343,228 546,114,108,42,6
Little Sis Nora,1 022 172 960,82 776 254,71 765 077,939 396 706,313 542,44 948,268 594,50,16,10,34
Nate Smith,1 023 246 088,941 248 285,891 260 883,81 997 803,1 304 583,1 041 078,263 505,69,64,57,5
Freya Ridings,1 023 773 743,975 100 526,895 060 073,48 673 217,500 411,473 041,27 370,74,64,55,10
Charles Aznavour,1 021 770 287,1 012 780 168,983 835 737,8 990 119,1 200 608,1 188 821,11 787,398,386,349,12
Bloodhound Gang,1 025 372 158,1 025 372 158,1 014 885 021,0,455 534,455 534,0,80,80,71,0
Elisa,1 024 454 161,715 843 354,474 101 647,308 610 807,534 350,435 966,98 384,247,219,196,28
Fleurie,1 025 190 078,313 621 005,102 841 055,711 569 073,328 115,98 949,229 166,103,56,45,47
Like Mike,1 025 545 145,52 117 527,24 165 249,973 427 618,926 247,9 419,916 828,97,58,17,39
Dr. Dog,1 025 458 918,1 025 078 996,1 024 288 307,379 922,481 577,481 550,27,181,180,179,1
Love Funk,1 025 945 238,960 182,0,1 024 985 056,1 071 384,1 307,1 070 077,154,2,0,152
Electric Callboy,1 026 909 683,959 397 965,786 083 216,67 511 718,1 177 855,1 006 712,171 143,131,129,112,2
Majestic,1 026 922 553,893 870 014,41 415 604,133 052 539,658 913,625 492,33 421,109,44,11,65
Jack Stauber's Micropop,1 027 282 474,1 027 282 474,1 027 282 474,0,590 509,590 509,0,122,122,122,0
Richard Marx,1 027 270 793,1 025 406 270,1 001 656 544,1 864 523,548 653,547 950,703,161,159,154,2
LXNGVX,1 029 230 056,1 020 594 542,369 182 816,8 635 514,1 503 059,1 495 413,7 646,104,97,36,7
Ben Harper,1 030 317 186,750 455 387,615 608 552,279 861 799,299 830,188 938,110 892,245,228,137,17
Rixton,1 030 760 872,1 027 707 502,1 026 721 828,3 053 370,314 609,314 416,193,22,21,19,1
Mark Knopfler,1 029 946 446,964 690 407,827 783 708,65 256 039,403 415,374 581,28 834,313,295,257,18
"Sergio Vega ""El Shaka""",1 030 778 927,1 028 000 871,1 028 000 871,2 778 056,947 013,945 334,1 679,155,153,153,2
That Mexican OT,1 031 240 818,954 123 277,411 442 697,77 117 541,1 133 953,995 206,138 747,167,134,58,33
Sabino,1 032 458 646,912 382 678,678 877 009,120 075 968,560 603,471 271,89 332,118,103,84,15
Röyksopp,1 032 316 670,998 518 684,699 559 562,33 797 986,258 230,254 544,3 686,252,246,147,6
Elodie,1 032 671 987,624 019 745,434 606 154,408 652 242,566 780,388 153,178 627,85,70,53,15
A Touch Of Class,1 032 557 879,251 441 045,4 018 646,781 116 834,350 479,142 977,207 502,28,16,4,12
Mýa,1 033 357 592,257 137 266,201 308 112,776 220 326,359 787,69 297,290 490,122,103,75,19
Björk,1 031 618 870,1 016 733 735,891 707 627,14 885 135,469 562,465 593,3 969,358,345,277,13
t-low,1 034 005 948,684 390 098,443 160 726,349 615 850,334 127,187 587,146 540,202,132,80,70
Rhye,1 034 343 654,948 035 632,748 300 105,86 308 022,334 602,274 872,59 730,88,78,51,10
Gabby Barrett,1 034 475 443,1 006 881 853,898 721 513,27 593 590,324 626,309 296,15 330,51,47,43,4
Kenny Beats,1 034 372 325,92 514 647,92 514 647,941 857 678,347 157,29 122,318 035,142,20,20,122
Chris Lane,1 034 833 343,931 312 550,677 912 725,103 520 793,152 020,136 467,15 553,70,62,56,8
Kizzy,1 035 575 807,3 542 562,0,1 032 033 245,861 461,710,860 751,47,1,0,46
Three 6 Mafia,1 034 026 692,877 430 758,532 337 946,156 595 934,493 471,419 357,74 114,337,278,183,59
Régulo Caro,1 034 406 905,926 445 010,827 901 302,107 961 895,270 638,231 334,39 304,301,261,211,40
Montez,1 035 838 605,830 088 556,684 054 389,205 750 049,637 499,526 588,110 911,103,91,73,12
MamboLosco,1 035 998 322,623 157 093,157 364 097,412 841 229,206 117,104 501,101 616,98,77,21,21
Tyla Yaweh,1 035 997 716,992 299 153,257 828 214,43 698 563,118 157,111 688,6 469,66,48,27,18
Amaarae,1 036 787 934,888 436 219,300 460 999,148 351 715,733 698,604 048,129 650,68,50,32,18
JPEGMAFIA,1 037 369 142,939 243 233,670 602 784,98 125 909,784 758,761 182,23 576,159,149,115,10
Banda Carnaval,1 037 455 152,942 988 776,907 422 419,94 466 376,497 600,431 711,65 889,232,223,194,9
Nego do Borel,1 037 485 326,367 046 037,107 144 279,670 439 289,134 527,27 437,107 090,71,55,42,16
The Bangles,1 036 996 715,1 036 996 715,1 036 996 715,0,435 521,435 521,0,77,77,77,0
Ludwig Göransson,1 036 105 914,866 032 589,759 627 552,170 073 325,601 357,530 478,70 879,366,301,278,65
MC Kekel,1 037 782 623,564 743 498,290 904 836,473 039 125,191 365,110 188,81 177,129,84,50,45
The Monkees,1 037 614 977,1 037 614 977,1 036 982 362,0,337 116,337 116,0,185,185,184,0
Carnage,1 038 119 677,765 103 132,9 721 116,273 016 545,94 461,66 421,28 040,76,59,3,17
Los Rehenes,1 038 190 821,1 034 828 990,1 023 159 774,3 361 831,680 763,680 287,476,326,325,319,1
Victor Leksell,1 038 390 077,778 499 300,698 505 382,259 890 777,639 576,437 159,202 417,39,29,26,10
Prezioso,1 040 218 998,288 172 198,2 398 305,752 046 800,554 344,166 471,387 873,72,55,2,17
We The Kings,1 039 118 232,1 003 612 227,625 134 161,35 506 005,304 567,291 062,13 505,123,118,107,5
Renée Elise Goldsberry,1 040 112 865,689 333 526,0,350 779 339,512 578,304 431,208 147,7,3,0,4
Sueco,1 040 223 490,833 708 244,666 239 150,206 515 246,373 216,259 969,113 247,72,54,48,18
Jessi Uribe,1 040 232 723,726 281 470,546 931 487,313 951 253,943 311,538 791,404 520,119,91,74,28
Raaban,1 040 490 070,305 399 380,770 543,735 090 690,141 799,75 565,66 234,65,27,2,38
Crazy Mano,1 040 573 729,18 315 393,12 960 497,1 022 258 336,642 289,12 165,630 124,124,10,6,114
Queen Naija,1 041 245 576,773 466 435,632 759 847,267 779 141,263 845,217 790,46 055,68,50,33,18
Yura Yunita,1 041 335 708,982 253 973,768 032 437,59 081 735,652 060,561 245,90 815,45,40,37,5
Sub Focus,1 041 763 380,879 416 852,245 451 139,162 346 528,775 730,513 148,262 582,160,135,51,25
Kyan,1 041 806 817,450 486 027,14 559 097,591 320 790,850 796,387 962,462 834,118,61,4,57
KIDS SEE GHOSTS,1 042 852 256,1 042 852 256,533 410 377,0,265 331,265 331,0,7,7,3,0
Cassie,1 041 815 781,955 062 870,895 594 255,86 752 911,610 244,592 707,17 537,42,37,26,5
Eiffel 65,1 044 285 926,953 480 674,69 116 068,90 805 252,370 947,356 357,14 590,94,82,52,12
Bhad Bhabie,1 044 634 428,971 478 321,289 612 261,73 156 107,251 977,206 066,45 911,39,34,19,5
Harris & Ford,1 044 993 331,506 311 355,61 831 483,538 681 976,528 326,255 801,272 525,154,89,15,65
Krewella,1 045 102 195,817 746 292,584 047 742,227 355 903,116 433,91 215,25 218,150,121,52,29
Bad Wolves,1 045 428 972,1 022 720 240,941 997 071,22 708 732,611 777,579 905,31 872,66,63,58,3
MercyMe,1 046 273 911,1 041 335 046,1 018 289 524,4 938 865,425 937,423 255,2 682,184,181,175,3
Alan Menken,1 045 744 603,797 201 816,138 058 950,248 542 787,546 062,396 266,149 796,194,168,65,26
Dani Flow,1 046 390 699,450 525 018,109 773 343,595 865 681,813 360,408 821,404 539,97,54,25,43
Roar,1 046 409 098,1 046 409 098,1 040 425 634,0,668 156,668 156,0,47,47,41,0
RY X,1 046 706 601,936 383 319,826 256 612,110 323 282,515 079,443 611,71 468,118,93,49,25
Yung Joc,1 047 074 743,219 534 115,22 109 037,827 540 628,489 198,89 707,399 491,59,34,13,25
"Crosby, Stills, Nash & Young",1 047 624 192,1 047 624 192,1 046 957 323,0,357 020,357 020,0,147,147,143,0
Seven Lions,1 046 823 523,869 654 501,58 650 092,177 169 022,228 826,201 404,27 422,251,213,20,38
Izi,1 047 915 468,680 477 112,412 518 653,367 438 356,325 980,159 816,166 164,100,69,38,31
Nina Chuba,1 048 166 397,880 601 381,679 186 633,167 565 016,1 176 290,992 512,183 778,57,45,39,12
DJ Antoine,1 048 620 399,1 013 315 676,65 165 022,35 304 723,278 957,274 063,4 894,249,225,23,24
Miss Li,1 048 816 758,745 364 408,706 056 209,303 452 350,288 701,246 391,42 310,159,154,146,5
The La Planta,1 048 826 946,662 609 621,134 444 448,386 217 325,1 431 688,749 503,682 185,154,79,17,75
The Proclaimers,1 049 926 994,1 049 926 994,1 049 521 636,0,377 482,377 482,0,117,117,116,0
In This Moment,1 050 112 392,1 039 485 772,938 222 207,10 626 620,299 733,296 237,3 496,131,130,124,1
Madvillain,1 049 762 350,1 047 794 296,7 678 590,1 968 054,478 888,478 355,533,75,74,15,1
LL COOL J,1 049 966 178,869 368 765,474 328 841,180 597 413,461 228,387 229,73 999,216,202,126,14
Alex Zurdo,1 051 031 163,877 363 811,526 575 185,173 667 352,744 511,583 110,161 401,234,184,118,50
Kristen Bell,1 051 228 984,998 522 585,0,52 706 399,466 103,450 322,15 781,9,5,0,4
Reyli Barba,1 051 315 386,1 007 229 751,817 782 788,44 085 635,457 568,442 446,15 122,96,81,60,15
Phillip Phillips,1 051 418 523,1 028 605 881,1 027 642 239,22 812 642,365 604,361 597,4 007,64,59,58,5
Danny Brown,1 051 234 976,559 591 963,407 510 696,491 643 013,359 129,109 964,249 165,202,145,115,57
Erik Satie,1 050 405 910,1 045 002 073,1 850 989,5 403 837,512 827,507 955,4 872,552,541,6,11
Bad Religion,1 050 972 145,1 050 972 145,1 050 972 145,0,331 284,331 284,0,322,322,322,0
Peggy Gou,1 051 476 852,1 006 930 795,947 313 979,44 546 057,564 765,548 473,16 292,58,56,38,2
Parcels,1 052 074 357,1 052 074 357,1 000 989 591,0,773 515,773 515,0,99,99,79,0
Toploader,1 052 182 904,1 052 182 904,1 051 990 020,0,550 686,550 686,0,30,30,29,0
Leonardo,1 051 702 408,758 390 438,242 882 930,293 311 970,627 701,453 223,174 478,311,263,191,48
P.O.D.,1 053 482 646,1 035 383 446,1 010 588 968,18 099 200,405 561,394 624,10 937,167,165,151,2
Escape the Fate,1 052 752 578,1 042 503 072,1 011 388 176,10 249 506,365 159,346 995,18 164,135,127,118,8
Marcela Gandara,1 052 303 271,853 390 834,584 815 356,198 912 437,824 595,717 744,106 851,60,47,39,13
Fenix Flexin,1 053 739 531,61 662 699,43 841 938,992 076 832,703 013,37 626,665 387,99,56,33,43
VASSY,1 052 726 485,55 357 141,23 068 679,997 369 344,250 355,15 384,234 971,74,39,14,35
Mark Ambor,1 054 354 101,1 054 354 101,1 054 354 101,0,1 622 026,1 622 026,0,23,23,23,0
Sevdaliza,1 054 626 349,1 042 630 649,206 408 092,11 995 700,2 138 733,2 137 197,1 536,74,72,57,2
Diego Verdaguer,1 054 402 655,1 008 499 415,915 112 694,45 903 240,661 484,637 606,23 878,211,198,129,13
