Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Los Auténticos Decadentes,"1,924,358,591","1,894,113,473","1,152,993,850","30,245,118","717,723","684,125","448,908","33,598",308,300,218,8
Neeti Mohan,"1,924,450,792","392,304,171","162,517,709","1,532,146,621","1,678,440","346,636","100,487","1,331,804",161,45,7,116
Isaiah Rashad,"1,927,197,910","1,751,420,450","930,834,111","175,777,460","1,065,815","900,388","459,631","165,427",72,60,36,12
Pinguini Tattici Nucleari,"1,930,093,509","1,724,042,347","1,724,042,347","206,051,162","1,697,992","1,570,620","1,570,620","127,372",88,83,83,5
Werenoi,"1,927,681,510","1,753,883,191","1,270,330,533","173,798,319","2,701,488","2,418,479","1,778,093","283,009",86,76,61,10
Riley Green,"1,927,885,216","1,681,680,972","1,509,336,086","246,204,244","2,646,613","2,091,261","1,564,903","555,352",114,108,102,6
Fitz and The Tantrums,"1,930,151,795","1,881,275,482","1,860,430,064","48,876,313","652,669","640,810","638,004","11,859",145,123,98,22
Capital Cities,"1,931,745,889","1,929,079,905","1,885,512,434","2,665,984","1,037,626","1,036,159","1,029,176","1,467",61,56,37,5
Maxwell,"1,933,364,362","326,785,881","61,100,221","1,606,578,481","427,689","69,336","7,518","358,353",187,70,29,117
Tyla,"1,935,083,225","1,891,696,642","1,469,902,913","43,386,583","4,789,446","4,681,072","4,019,888","108,374",32,25,14,7
Asake,"1,935,193,189","1,495,552,567","1,098,314,085","439,640,622","2,540,311","1,870,872","1,291,255","669,439",79,62,47,17
Riton,"1,935,292,576","1,882,376,126","1,934,331","52,916,450","481,444","475,270",164,"6,174",87,56,7,31
Anahí,"1,935,969,914","128,267,175","98,902,700","1,807,702,739","873,080","36,947","33,350","836,133",234,53,46,181
Ghali,"1,935,937,140","1,469,920,622","1,143,380,346","466,016,518","836,187","563,022","483,604","273,165",123,97,75,26
Still Woozy,"1,941,219,698","1,823,660,631","1,633,994,270","117,559,067","661,354","614,369","569,863","46,985",41,39,36,2
LSD,"1,945,020,446",0,0,"1,945,020,446","426,992",0,0,"426,992",18,0,0,18
Los Plebes del Rancho de Ariel Camacho,"1,946,586,847","1,917,375,953","1,586,555,600","29,210,894","872,346","862,339","693,373","10,007",155,143,122,12
BIA,"1,949,394,315","535,112,124","208,075,694","1,414,282,191","637,400","112,601","30,632","524,799",88,48,26,40
SDM,"1,951,970,451","1,323,474,416","905,567,015","628,496,035","2,642,778","1,736,418","1,321,486","906,360",105,67,49,38
Edwin Luna y La Trakalosa de Monterrey,"1,952,548,185","1,900,930,907","1,727,170,258","51,617,278","847,833","822,800","761,419","25,033",204,179,128,25
C-Kan,"1,953,557,981","1,477,784,271","647,128,842","475,773,710","1,097,162","804,690","360,792","292,472",272,215,88,57
Mario,"1,955,631,817","1,906,760,720","1,809,722,448","48,871,097","1,250,234","1,222,098","1,181,079","28,136",112,100,78,12
Deorro,"1,954,250,300","1,669,641,196","193,883,781","284,609,104","452,476","369,330","25,291","83,146",167,130,48,37
Sofi Tukker,"1,956,902,554","1,451,440,070","849,033,483","505,462,484","640,109","480,036","300,432","160,073",177,127,49,50
Surf Curse,"1,957,523,967","1,957,523,967","1,943,016,341",0,"1,855,436","1,855,436","1,840,076",0,58,58,49,0
MERO,"1,957,432,545","1,340,392,951","1,002,673,366","617,039,594","734,564","455,558","306,218","279,006",93,75,54,18
Chris Tomlin,"1,958,270,318","1,788,588,830","1,498,294,435","169,681,488","883,022","803,347","676,352","79,675",255,232,177,23
King Gnu,"1,959,636,186","1,959,636,186","1,959,636,186",0,"1,178,759","1,178,759","1,178,759",0,97,97,97,0
Kenny Loggins,"1,961,831,197","1,918,299,747","1,861,019,165","43,531,450","710,087","697,196","677,587","12,891",127,123,107,4
No Te Va Gustar,"1,961,961,212","1,901,655,511","1,228,590,772","60,305,701","1,179,832","1,156,827","724,018","23,005",272,268,202,4
Snakehips,"1,966,063,232","1,690,000,631","4,614,392","276,062,601","243,681","197,325",852,"46,356",125,94,5,31
MadeinTYO,"1,965,941,203","1,280,310,116","713,176,565","685,631,087","202,232","113,337","64,877","88,895",137,106,56,31
Pooh Shiesty,"1,968,530,481","1,242,570,322","349,121,848","725,960,159","1,006,886","751,556","224,435","255,330",85,43,18,42
Franz Ferdinand,"1,969,131,383","1,949,526,593","1,938,613,037","19,604,790","1,015,769","1,006,242","1,002,175","9,527",164,147,124,17
Luar La L,"1,968,621,345","677,591,727","521,419,170","1,291,029,618","2,800,468","605,035","231,346","2,195,433",151,64,26,87
Ana Mena,"1,972,649,737","906,783,350","310,551,562","1,065,866,387","687,285","440,374","145,724","246,911",84,50,26,34
Chuck Berry,"1,973,803,405","1,973,803,405","1,851,173,565",0,"714,133","714,133","658,092",0,231,231,216,0
Method Man,"1,973,112,631","858,352,409","301,693,876","1,114,760,222","648,350","261,729","81,073","386,621",351,194,64,157
Stone Temple Pilots,"1,975,579,828","1,975,579,828","1,975,579,828",0,"966,087","966,087","966,087",0,175,175,175,0
Cash Cash,"1,975,137,848","1,556,348,136","128,312,268","418,789,712","229,911","190,792","14,537","39,119",186,151,31,35
Omah Lay,"1,979,168,246","1,378,150,724","1,170,704,588","601,017,522","2,165,128","1,644,054","1,465,873","521,074",66,46,34,20
Alejandra Guzman,"1,979,108,120","1,624,894,317","1,507,600,131","354,213,803","1,297,131","1,168,297","1,138,726","128,834",245,223,188,22
Frédéric Chopin,"1,969,264,745","1,967,404,489",0,"1,860,256","1,034,668","1,034,556",0,112,"1,210","1,208",0,2
Steely Dan,"1,980,077,202","1,977,978,384","1,976,859,595","2,098,818","1,044,746","1,041,842","1,041,539","2,904",166,158,157,8
Keyshia Cole,"1,982,289,659","1,616,468,614","1,052,873,029","365,821,045","1,145,652","978,532","767,350","167,120",123,103,67,20
Anthony Ramos,"1,985,715,043","98,246,961","85,848,074","1,887,468,082","665,863","13,959","12,872","651,904",61,36,33,25
HAIM,"1,987,502,749","1,400,945,318","1,259,694,055","586,557,431","409,816","236,284","190,796","173,532",90,80,59,10
Billy Idol,"1,991,414,947","1,919,583,676","1,872,991,407","71,831,271","2,253,825","2,237,386","1,914,055","16,439",181,179,159,2
Sofia Carson,"1,991,708,858","822,301,800","465,290,014","1,169,407,058","1,088,345","318,712","174,748","769,633",86,50,32,36
Sexyy Red,"1,991,695,784","930,137,000","669,661,654","1,061,558,784","5,043,458","1,220,056","959,900","3,823,402",96,65,45,31
Ray Charles,"1,989,371,285","1,949,221,629","1,706,137,592","40,149,656","975,479","914,147","768,341","61,332",360,348,305,12
RIN,"1,992,346,835","1,695,405,852","1,436,877,039","296,940,983","477,988","367,013","259,785","110,975",98,82,71,16
Polimá Westcoast,"1,992,384,061","1,319,750,382","57,121,030","672,633,679","492,669","312,313","6,897","180,356",148,76,30,72
Elderbrook,"1,993,081,657","1,160,782,889","677,596,690","832,298,768","809,105","539,963","209,005","269,142",161,112,60,49
Etta James,"1,993,991,751","1,987,303,719","1,964,485,855","6,688,032","1,223,105","1,220,098","1,211,840","3,007",281,275,264,6
Damian Marley,"1,997,373,396","1,151,084,963","643,500,556","846,288,433","915,076","626,342","425,853","288,734",143,91,66,52
Bedoes 2115,"1,997,589,491","1,121,884,943","20,710,779","875,704,548","892,467","490,547","6,985","401,920",162,90,5,72
MIKA,"1,995,319,131","1,920,481,699","1,723,798,673","74,837,432","669,320","655,683","569,308","13,637",226,217,196,9
Boyz II Men,"1,999,516,769","1,780,403,094","1,501,278,704","219,113,675","1,102,750","1,042,292","934,696","60,458",231,207,176,24
Simone & Simaria,"2,001,717,345","1,397,002,305","832,653,210","604,715,040","414,960","308,599","219,058","106,361",133,99,64,34
Mägo de Oz,"2,002,156,911","2,000,851,351","1,956,726,901","1,305,560","918,822","915,589","895,795","3,233",375,374,353,1
Waka Flocka Flame,"2,000,809,832","1,410,529,699","283,263,642","590,280,133","685,776","487,894","59,081","197,882",357,231,87,126
grandson,"2,003,027,594","1,815,337,802","1,631,938,704","187,689,792","486,666","407,325","368,837","79,341",89,74,61,15
JP Saxe,"2,003,153,543","1,913,437,425","434,262,216","89,716,118","493,992","473,078","73,141","20,914",78,71,51,7
Pamungkas,"2,005,571,961","1,996,584,279","1,959,882,710","8,987,682","1,342,208","1,337,571","1,330,588","4,637",132,129,94,3
Okieriete Onaodowan,"2,009,481,268","141,007,960",0,"1,868,473,308","790,500","44,942",0,"745,558",12,1,0,11
BIGBANG,"2,003,664,040","2,003,664,040","1,995,851,921",0,"3,121,532","3,121,532","3,106,710",0,244,244,232,0
Bas,"2,009,770,697","909,939,490","159,386,355","1,099,831,207","545,395","145,813","24,154","399,582",101,69,32,32
Legião Urbana,"2,009,839,875","2,009,839,875","2,008,172,018",0,"1,083,659","1,083,659","1,083,503",0,205,205,203,0
Juanka,"2,010,196,133","182,809,592","80,849,728","1,827,386,541","692,946","75,438","26,877","617,508",169,44,26,125
Takeoff,"2,010,353,543","637,926,115","618,835,510","1,372,427,428","776,305","222,185","216,563","554,120",58,13,12,45
Ratatat,"2,010,462,395","455,184,979","453,503,182","1,555,277,416","512,568","59,844","59,743","452,724",70,67,63,3
Coez,"2,014,197,417","1,434,024,873","1,217,598,955","580,172,544","678,551","529,148","414,629","149,403",125,92,69,33
Genesis,"2,010,588,899","2,010,588,899","2,002,862,576",0,"837,501","837,501","835,181",0,308,308,273,0
Lindsey Stirling,"2,014,798,173","1,658,315,308","1,380,647,115","356,482,865","557,496","490,090","419,550","67,406",176,140,112,36
The Doobie Brothers,"2,015,879,251","2,015,879,251","1,952,698,906",0,"976,834","976,834","960,312",0,214,214,198,0
Kris Kross Amsterdam,"2,016,280,718","1,274,979,679",0,"741,301,039","340,495","291,157",0,"49,338",56,44,0,12
Luck Ra,"2,018,257,013","1,612,493,145","149,567,026","405,763,868","3,116,190","2,303,709","83,213","812,481",69,42,14,27
Billy Currington,"2,019,088,291","1,961,841,151","1,953,394,248","57,247,140","681,023","663,945","663,279","17,078",93,90,88,3
Brando,"2,019,203,163","294,832,121","204,998,409","1,724,371,042","530,403","85,907","51,269","444,496",62,27,17,35
Keri Hilson,"2,020,212,508","778,713,492","322,746,649","1,241,499,016","1,205,549","295,956","111,199","909,593",70,42,27,28
King,"2,020,800,831","1,864,063,524","1,695,543,418","156,737,307","1,074,551","1,002,606","795,764","71,945",97,81,50,16
ZHU,"2,021,143,820","1,794,165,129","992,509,133","226,978,691","418,915","387,980","245,726","30,935",174,145,67,29
Kiiara,"2,021,812,552","1,187,644,160","950,145,103","834,168,392","243,571","114,399","97,658","129,172",91,50,29,41
Ruel,"2,024,677,983","1,802,024,228","1,738,021,664","222,653,755","400,633","324,244","314,759","76,389",69,55,40,14
J Hus,"2,026,055,040","1,536,696,672","946,338,394","489,358,368","598,056","436,082","229,702","161,974",101,88,53,13
070 Shake,"2,027,808,743","553,840,939","353,046,412","1,473,967,804","1,145,365","235,929","156,944","909,436",90,70,51,20
Artemas,"2,030,289,663","2,018,941,672","1,990,859,802","11,347,991","3,435,133","3,315,959","3,255,037","119,174",62,60,57,2
KC Rebell,"2,029,165,308","1,548,637,499","511,728,544","480,527,809","424,787","346,444","152,376","78,343",271,234,108,37
Yellow Claw,"2,029,793,761","1,720,658,630","281,807,423","309,135,131","370,351","316,831","48,662","53,520",294,222,20,72
Hariharan,"2,026,053,263","1,353,395,832","631,013,983","672,657,431","2,217,379","1,591,550","877,588","625,829",376,273,120,103
Kaskade,"2,030,871,947","1,277,740,059","336,160,446","753,131,888","635,117","366,118","94,826","268,999",434,351,101,83
Vacations,"2,032,926,234","2,030,597,682","2,027,840,432","2,328,552","1,678,764","1,677,506","1,676,478","1,258",49,48,47,1
Young the Giant,"2,033,088,767","2,033,088,767","2,024,663,842",0,"695,314","695,314","695,098",0,99,99,91,0
Duke Dumont,"2,033,286,682","1,961,124,383","990,042,657","72,162,299","752,783","702,267","397,229","50,516",130,115,36,15
Baco Exu do Blues,"2,036,205,782","1,577,226,591","855,274,185","458,979,191","1,361,953","978,287","524,149","383,666",90,63,40,27
GoldLink,"2,036,450,916","1,623,676,640","156,111,082","412,774,276","430,623","343,491","15,322","87,132",112,86,21,26
Hindia,"2,037,915,401","2,003,056,425","1,712,955,707","34,858,976","3,590,287","3,550,304","3,097,529","39,983",60,54,41,6
Lacrim,"2,037,496,927","1,635,240,774","894,835,932","402,256,153","1,182,826","980,787","529,853","202,039",298,231,151,67
Beck,"2,039,917,953","1,851,352,617","1,807,923,449","188,565,336","616,846","535,878","525,684","80,968",281,252,228,29
Jamiroquai,"2,040,802,921","2,026,932,978","1,942,372,452","13,869,943","944,792","939,398","877,543","5,394",198,195,145,3
Orelsan,"2,047,505,980","1,868,768,063","1,406,253,637","178,737,917","454,303","396,848","299,335","57,455",100,80,67,20
Survivor,"2,048,050,539","2,048,050,539","2,048,050,539",0,"1,069,438","1,069,438","1,069,438",0,69,69,69,0
Los Fabulosos Cadillacs,"2,048,678,600","2,048,678,600","2,048,678,600",0,"825,377","825,377","825,377",0,229,229,229,0
Lola Indigo,"2,049,795,333","1,360,593,556","285,904,323","689,201,777","1,099,313","854,017","220,390","245,296",80,56,24,24
Lil Kleine,"2,052,288,028","1,320,153,411","648,757,663","732,134,617","523,069","317,669","168,872","205,400",140,106,59,34
Dance Fruits Music,"2,052,957,508","1,568,558,921","540,265,297","484,398,587","272,771","158,219","29,807","114,552",207,127,68,80
Angèle,"2,056,438,151","1,497,545,152","1,196,647,398","558,892,999","755,389","387,653","300,943","367,736",50,39,33,11
Cypress Hill,"2,052,986,123","2,029,453,974","1,642,680,189","23,532,149","749,350","740,088","605,846","9,262",275,268,217,7
Beny Jr,"2,058,181,399","1,433,655,373","692,557,485","624,526,026","2,987,908","2,242,941","1,324,540","744,967",175,146,106,29
London Symphony Orchestra,"2,052,124,753","41,312,954","11,901,161","2,010,811,799","997,008","24,412","12,545","972,596",686,75,21,611
88rising,"2,059,282,632","1,748,577,829",0,"310,704,803","696,484","421,460",0,"275,024",60,56,0,4
Maggie Rogers,"2,059,366,674","1,708,223,786","1,632,550,011","351,142,888","1,058,012","772,395","741,311","285,617",71,68,61,3
Sage The Gemini,"2,059,708,400","1,152,013,513","560,858,803","907,694,887","524,586","325,509","81,718","199,077",90,64,28,26
Harris Jayaraj,"2,063,458,312","2,058,526,041","6,942,748","4,932,271","1,981,870","1,977,215","7,465","4,655",236,229,4,7
Chinmayi,"2,066,403,950","150,267,893","104,270,982","1,916,136,057","2,200,258","151,538","92,220","2,048,720",179,33,18,146
A Tribe Called Quest,"2,068,191,142","2,066,862,670","1,549,776,955","1,328,472","724,375","723,509","577,751",866,121,119,80,2
Rainbow Kitten Surprise,"2,068,618,568","2,068,618,568","2,055,273,194",0,"1,197,379","1,197,379","1,184,126",0,87,87,85,0
Darius Rucker,"2,074,791,242","1,969,797,416","1,916,712,010","104,993,826","650,056","597,074","585,197","52,982",130,113,102,17
Babasonicos,"2,069,155,984","2,061,047,215","2,057,011,987","8,108,769","1,142,807","1,139,420","1,136,939","3,387",296,293,280,3
Dreamville,"2,076,339,378","1,903,010,058",0,"173,329,320","559,385","515,092",0,"44,293",71,63,0,8
Djonga,"2,078,551,398","1,409,330,099","45,064,845","669,221,299","947,859","632,438","20,284","315,421",158,84,9,74
Neil Diamond,"2,065,740,606","2,063,391,953","2,021,919,960","2,348,653","806,484","806,062","793,221",422,478,477,467,1
Pailita,"2,078,721,757","774,787,435","118,550,960","1,303,934,322","673,340","300,587","39,632","372,753",94,55,19,39
Wall Hein,"2,080,452,095","1,312,696",0,"2,079,139,399","1,188,897",190,0,"1,188,707",57,1,0,56
LP,"2,080,488,844","2,005,516,617","1,989,902,414","74,972,227","743,971","731,389","727,530","12,582",133,126,110,7
Vaundy,"2,084,464,372","2,015,440,898","1,991,765,350","69,023,474","2,295,833","2,253,507","2,231,434","42,326",60,55,53,5
Los Cadetes De Linares,"2,083,962,729","2,083,962,729","2,074,510,016",0,"1,493,379","1,493,379","1,489,467",0,406,406,396,0
Ashe,"2,084,738,831","1,867,884,420","1,144,725,188","216,854,411","1,937,542","1,925,381","1,582,448","12,161",81,70,58,11
Kid Rock,"2,085,748,289","1,863,429,376","1,588,063,954","222,318,913","621,536","573,470","483,053","48,066",179,163,151,16
Cults,"2,086,996,536","1,382,332,265","1,380,063,158","704,664,271","1,376,128","1,105,325","1,105,051","270,803",85,82,75,3
Miguel Bosé,"2,087,770,501","1,888,126,786","1,319,752,352","199,643,715","857,793","787,195","568,340","70,598",346,311,257,35
Tz da Coronel,"2,089,956,998","1,177,319,302","74,137,340","912,637,696","1,598,980","994,725","215,971","604,255",141,88,11,53
Emeli Sandé,"2,090,573,160","1,305,050,275","1,226,772,566","785,522,885","345,474","220,498","213,402","124,976",223,176,134,47
James Taylor,"2,091,183,373","1,887,521,040","1,823,913,587","203,662,333","667,258","612,676","598,455","54,582",345,310,303,35
Gloria Groove,"2,091,953,127","1,322,867,686","1,050,936,893","769,085,441","1,298,100","879,408","716,229","418,692",134,104,69,30
Charles Ans,"2,091,977,734","1,276,395,240","647,986,120","815,582,494","1,211,032","690,238","286,760","520,794",223,164,77,59
Ariel Camacho y Los Plebes Del Rancho,"2,093,269,530","2,092,354,097","1,802,521,886","915,433","1,396,543","1,396,184","1,245,345",359,66,64,52,2
Brad Paisley,"2,093,378,130","2,033,603,336","1,497,903,410","59,774,794","541,905","486,931","330,034","54,974",232,215,181,17
Supernova Ent,"2,095,040,389","80,880,792",0,"2,014,159,597","2,642,494","1,052,152",0,"1,590,342",103,18,0,85
Fujii Kaze,"2,095,484,963","2,038,259,594","2,026,429,324","57,225,369","2,023,096","1,995,224","1,985,808","27,872",87,86,78,1
Omar Varela,"2,097,089,817","72,106,200","2,760,940","2,024,983,617","1,152,556","36,968",363,"1,115,588",131,24,6,107
Miranda!,"2,098,323,923","2,045,506,060","1,566,390,091","52,817,863","1,162,848","1,114,078","820,566","48,770",274,259,213,15
Marca MP,"2,101,871,685","2,044,573,273","1,750,998,704","57,298,412","800,651","760,846","639,449","39,805",197,188,173,9
Lil Dicky,"2,103,417,042","2,044,466,306","559,251,488","58,950,736","291,892","282,720","72,086","9,172",45,44,34,1
Melim,"2,103,113,292","1,849,898,228","1,713,991,289","253,215,064","623,939","535,827","481,475","88,112",137,110,97,27
Digital Farm Animals,"2,104,415,358","329,182,819","10,726,132","1,775,232,539","269,024","27,172","1,126","241,852",91,27,3,64
Brantley Gilbert,"2,104,563,608","2,034,215,223","1,637,789,724","70,348,385","570,068","545,977","372,384","24,091",128,118,104,10
The All-American Rejects,"2,106,929,116","2,106,929,116","2,106,929,116",0,"835,356","835,356","835,356",0,88,88,88,0
The Walters,"2,107,079,802","2,106,356,093","2,103,511,718","723,709","1,512,254","1,506,187","1,505,537","6,067",31,30,29,1
Jimmy Eat World,"2,107,578,288","2,107,578,288","2,078,379,075",0,"933,748","933,748","921,846",0,197,197,194,0
Emmanuel,"2,107,939,175","2,051,755,359","1,931,884,950","56,183,816","1,144,773","1,123,429","1,088,125","21,344",191,187,175,4
Matisse,"2,110,392,076","1,856,761,935","945,427,714","253,630,141","569,815","484,963","213,138","84,852",107,92,65,15
Antônio Carlos Jobim,"2,109,507,481","1,024,803,435","802,573,115","1,084,704,046","1,231,987","636,135","480,509","595,852",362,282,209,80
Cole Swindell,"2,114,155,015","2,077,821,895","1,852,368,148","36,333,120","472,406","463,437","409,162","8,969",95,93,89,2
Kidz Bop Kids,"2,112,570,750","2,112,570,750","2,112,225,789",0,"645,021","645,021","644,993",0,"1,012","1,012","1,011",0
Mc Paiva ZS,"2,114,464,663","1,384,535,196","62,230,300","729,929,467","2,606,668","840,031","58,076","1,766,637",142,85,7,57
Azet,"2,115,141,442","1,557,700,706","677,293,310","557,440,736","838,204","526,702","319,361","311,502",161,115,61,46
Tungevaag,"2,115,246,505","1,306,915,383","362,784,722","808,331,122","380,782","176,086","72,014","204,696",137,98,31,39
Godsmack,"2,116,272,711","2,112,190,065","2,112,190,065","4,082,646","832,259","817,015","817,015","15,244",123,121,121,2
Robin Thicke,"2,118,779,215","1,521,827,146","462,854,987","596,952,069","465,292","396,756","128,329","68,536",174,149,118,25
Roberto Carlos,"2,110,723,965","2,072,477,483","1,950,900,533","38,246,482","1,227,091","1,202,845","1,153,318","24,246",751,746,707,5
Soundgarden,"2,118,814,761","2,118,814,761","2,113,787,679",0,"1,032,661","1,032,661","1,031,900",0,260,260,254,0
City Girls,"2,118,929,745","1,102,146,405","668,637,600","1,016,783,340","474,546","227,125","136,574","247,421",102,72,51,30
Descemer Bueno,"2,119,034,380","70,955,859","3,605,616","2,048,078,521","687,973","19,193","1,437","668,780",85,48,6,37
León Larregui,"2,120,751,828","1,930,297,125","1,849,293,133","190,454,703","1,329,980","1,269,358","1,215,355","60,622",84,77,61,7
Alvaro Diaz,"2,123,065,602","1,654,077,519","442,922,978","468,988,083","3,067,015","2,622,184","731,136","444,831",145,103,58,42
S. P. Balasubrahmanyam,"2,121,030,492","1,437,577,679","407,044,193","683,452,813","2,406,602","1,735,555","518,100","671,047",889,724,244,165
Dustin Lynch,"2,125,234,914","2,039,724,920","1,637,495,252","85,509,994","522,186","412,034","274,712","110,152",96,91,86,5
Kishore Kumar,"2,127,714,094","1,487,809,409","958,101,802","639,904,685","2,695,421","2,016,589","1,385,309","678,832",450,324,180,126
Willie Colón,"2,130,582,161","1,728,740,344","997,278,132","401,841,817","1,557,341","1,302,415","844,259","254,926",220,144,86,76
John Martin,"2,132,466,676","116,812,980","100,197,795","2,015,653,696","807,517","22,846","21,581","784,671",48,8,4,40
Johann Sebastian Bach,"2,119,695,954","2,072,851,829",0,"46,844,125","1,033,506","1,005,001",0,"28,505","1,077","1,069",0,8
Simone Mendes,"2,137,298,815","1,188,716,577","1,182,644,871","948,582,238","2,758,205","1,462,403","1,458,711","1,295,802",66,28,27,38
CHVRCHES,"2,146,147,135","1,402,828,098","1,264,349,264","743,319,037","324,096","175,938","161,218","148,158",133,128,100,5
Neil Young,"2,141,548,932","2,118,805,245","1,685,265,896","22,743,687","877,260","872,242","723,457","5,018",810,805,532,5
Moira Dela Torre,"2,149,192,998","1,750,339,636","1,330,228,959","398,853,362","665,365","514,907","414,356","150,458",123,110,79,13
Icona Pop,"2,150,496,435","1,710,698,194","542,467,451","439,798,241","615,645","577,892","76,085","37,753",151,113,61,38
No Doubt,"2,151,100,554","2,150,498,257","1,977,415,062","602,297","1,122,757","1,122,541","1,049,659",216,114,113,102,1
Tinie Tempah,"2,155,419,969","1,378,120,903","206,191,516","777,299,066","396,329","246,391","48,436","149,938",144,96,24,48
Øneheart,"2,157,278,420","2,104,159,143","639,205,403","53,119,277","2,433,440","2,389,158","851,533","44,282",173,149,66,24
KSHMR,"2,159,079,780","1,085,985,863","100,654,485","1,073,093,917","455,870","267,982","43,219","187,888",201,139,39,62
I Prevail,"2,161,709,724","2,060,595,433","1,899,002,824","101,114,291","956,876","815,014","768,408","141,862",73,69,63,4
Antonio Aguilar,"2,152,998,479","2,029,969,690","1,863,703,768","123,028,789","1,405,235","1,297,559","1,201,273","107,676",606,602,578,4
Ramin Djawadi,"2,164,450,729","2,162,381,451","2,032,883,530","2,069,278","668,562","668,079","619,355",483,674,668,638,6
Sam Cooke,"2,164,492,034","2,134,969,637","2,097,579,652","29,522,397","875,705","855,564","845,647","20,141",303,300,254,3
Mr. Probz,"2,165,524,374","1,787,364,472","582,636,259","378,159,902","732,947","538,472","92,572","194,475",68,33,24,35
VIZE,"2,172,274,286","933,328,144","156,484,598","1,238,946,142","418,052","157,462","13,392","260,590",126,57,5,69
Upchurch,"2,170,569,175","1,993,743,812","1,452,163,343","176,825,363","532,355","484,317","354,296","48,038",318,301,225,17
FINNEAS,"2,175,309,541","1,718,869,944","1,715,893,180","456,439,597","1,138,185","809,025","808,146","329,160",57,54,51,3
Cordae,"2,177,052,031","1,541,276,434","826,321,722","635,775,597","844,560","607,969","241,328","236,591",89,63,36,26
Alvaro Soler,"2,177,415,850","1,817,982,534","1,376,787,133","359,433,316","486,513","410,682","321,514","75,831",119,99,74,20
Chalino Sanchez,"2,175,674,220","2,173,420,730","872,059,385","2,253,490","3,932,933","3,926,406","2,790,447","6,527",555,543,308,12
Julio Iglesias,"2,179,520,799","2,061,106,479","1,710,708,057","118,414,320","1,200,546","1,156,055","964,268","44,491",539,529,497,10
Ricardo Montaner,"2,180,290,388","2,027,825,098","1,786,865,185","152,465,290","1,381,022","1,317,562","1,239,027","63,460",327,313,283,14
Fat Joe,"2,180,453,129","1,758,489,506","65,875,114","421,963,623","642,166","508,966","11,518","133,200",259,188,78,71
¥$,"2,180,471,150","2,180,471,150",0,0,"2,519,423","2,519,423",0,0,43,43,0,0
Hamza,"2,181,515,769","1,265,779,612","830,326,182","915,736,157","1,585,584","721,887","518,859","863,697",208,151,129,57
Lennon Stella,"2,185,074,945","985,634,100","697,538,308","1,199,440,845","289,512","94,608","63,187","194,904",62,44,33,18
Martin Solveig,"2,186,294,136","1,602,681,783","113,004,033","583,612,353","441,384","347,776","15,766","93,608",155,122,43,33
Valentín Elizalde,"2,187,561,665","2,177,918,048","2,153,007,420","9,643,617","1,233,697","1,227,195","1,220,251","6,502",300,284,263,16
FMK,"2,190,471,600","976,165,197","248,413,926","1,214,306,403","882,964","180,185","40,833","702,779",71,41,17,30
"Tito ""El Bambino""","2,190,384,759","1,824,909,105","539,206,361","365,475,654","1,104,259","978,752","302,094","125,507",179,147,87,32
Coolio,"2,199,683,305","2,196,962,950","167,602,704","2,720,355","1,308,051","1,306,982","80,976","1,069",98,91,64,7
Alanis Morissette,"2,190,533,463","2,165,509,158","2,149,057,749","25,024,305","877,182","872,925","869,186","4,257",271,270,245,1
Río Roma,"2,201,057,105","2,126,867,315","1,263,185,145","74,189,790","541,945","511,702","285,935","30,243",113,101,65,12
Baby Gang,"2,201,912,488","1,458,057,234","313,427,428","743,855,254","2,364,164","1,602,188","229,449","761,976",127,87,11,40
Duran Duran,"2,201,106,310","2,201,106,310","2,163,857,288",0,"1,092,240","1,092,240","1,083,949",0,350,350,321,0
Fabolous,"2,201,973,470","1,486,233,316","247,176,820","715,740,154","532,948","341,858","50,711","191,090",316,194,85,122
Jarabe De Palo,"2,205,683,993","2,172,677,325","1,980,621,846","33,006,668","1,303,491","1,295,095","1,223,875","8,396",201,190,149,11
The Temptations,"2,204,516,894","2,152,557,591","2,145,323,529","51,959,303","900,803","884,214","882,978","16,589",311,292,283,19
Carpenters,"2,205,746,554","2,205,746,554","2,129,120,845",0,"1,167,040","1,167,040","1,140,282",0,231,231,211,0
Mahalini,"2,206,436,535","2,137,342,723","1,917,526,539","69,093,812","2,649,713","2,560,786","2,419,785","88,927",35,33,28,2
Billy Ray Cyrus,"2,209,039,842","272,701,257","244,516,016","1,936,338,585","340,240","107,047","101,097","233,193",98,82,64,16
Rkomi,"2,210,582,849","1,531,800,939","538,538,426","678,781,910","427,113","246,924","72,353","180,189",138,88,50,50
Air Supply,"2,211,708,450","2,211,708,450","2,202,571,515",0,"1,504,545","1,504,545","1,500,578",0,187,187,182,0
Belinda,"2,212,131,566","684,236,480","486,533,563","1,527,895,086","1,566,599","1,081,631","319,566","484,968",110,74,65,36
Shoreline Mafia,"2,213,646,501","2,036,749,493","902,223,404","176,897,008","989,808","943,242","266,344","46,566",87,84,24,3
Def Leppard,"2,217,948,290","2,217,056,666","2,197,721,161","891,624","1,137,125","1,137,001","1,126,178",124,383,382,357,1
Sky Rompiendo,"2,219,546,840","695,094,525",0,"1,524,452,315","1,089,136","467,734",0,"621,402",34,9,0,25
