Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Rixton,"1,025,726,994","1,022,676,720","1,021,691,717","3,050,274","303,988","303,821","303,788",167,22,21,19,1
Love Funk,"1,025,945,238","960,182",0,"1,024,985,056","1,071,384","1,307",0,"1,070,077",154,2,0,152
Tyla Yaweh,"1,026,001,062","982,915,362","255,695,588","43,085,700","127,842","121,054","26,712","6,788",65,48,27,17
Ludwig Göransson,"1,026,259,454","857,542,593","751,869,179","168,716,861","596,418","524,786","479,911","71,632",364,301,278,63
Los Panchos,"1,026,459,143","929,744,175","716,792,750","96,714,968","628,700","577,397","442,816","51,303",355,309,272,46
Gerardo Coronel,"1,026,476,115","727,429,459","655,239,655","299,046,656","2,140,196","1,839,099","1,791,645","301,097",268,258,208,10
Majestic,"1,026,695,435","893,870,014","41,415,604","132,825,421","658,642","625,492","5,475","33,150",108,44,11,64
Leonardo,"1,026,530,632","751,137,142","239,760,598","275,393,490","604,543","434,574","189,235","169,969",310,263,191,47
GIULIA BE,"1,027,724,319","929,901,420","842,631,299","97,822,899","305,096","254,160","231,432","50,936",49,39,34,10
Los Rehenes,"1,027,441,402","1,024,087,796","1,012,513,020","3,353,606","666,075","665,556","659,807",519,326,325,319,1
Röyksopp,"1,027,838,166","994,099,043","696,749,192","33,739,123","235,205","231,891","149,235","3,314",249,243,145,6
Mark Ambor,"1,028,406,718","1,028,406,718","1,028,406,718",0,"1,683,468","1,683,468","1,683,468",0,23,23,23,0
Kyan,"1,028,151,815","444,279,294","14,462,490","583,872,521","874,828","388,143","5,738","486,685",118,61,4,57
Gabby Barrett,"1,028,949,213","1,001,623,451","893,971,216","27,325,762","309,424","290,008","260,687","19,416",51,47,43,4
Toro y Moi,"1,028,513,536","698,398,691","640,417,903","330,114,845","275,622","138,711","117,800","136,911",219,198,170,21
t-low,"1,028,658,460","681,387,709","441,168,714","347,270,751","338,721","184,930","124,332","153,791",202,132,80,70
Rhye,"1,028,986,964","943,637,114","744,866,848","85,349,850","321,544","266,233","207,246","55,311",88,78,51,10
Banda Carnaval,"1,029,286,406","935,865,334","900,602,024","93,421,072","426,185","366,689","353,285","59,496",230,221,193,9
JPEGMAFIA,"1,029,371,020","931,415,451","664,397,344","97,955,569","837,449","810,929","600,451","26,520",158,148,114,10
The Bangles,"1,030,027,745","1,030,027,745","1,030,027,745",0,"416,456","416,456","416,456",0,77,77,77,0
Régulo Caro,"1,030,068,699","922,741,832","824,578,768","107,326,867","228,746","194,919","172,744","33,827",301,261,211,40
Roar,"1,030,343,584","1,030,343,584","1,024,461,687",0,"672,198","672,198","668,091",0,47,47,41,0
Bad Wolves,"1,030,414,681","1,008,465,755","929,252,158","21,948,926","607,364","578,056","517,732","29,308",66,63,58,3
Yura Yunita,"1,030,902,428","973,273,750","761,309,324","57,628,678","660,793","570,625","429,727","90,168",45,40,37,5
Amaarae,"1,030,949,858","883,603,652","298,218,726","147,346,206","770,227","637,024","294,689","133,203",68,50,32,18
Prezioso,"1,031,348,919","285,508,236","2,393,859","745,840,683","522,811","160,149",267,"362,662",72,55,2,17
